engine_model,vehicle_age,total_mileage,engine_rpm,engine_load,engine_temperature,oil_temperature,oil_pressure,fuel_pressure,failure_type,days_before_failure
1,0.07777777777777778,0.11856984726169864,0.9846290933392738,0.9746835443037974,0.9795918367346939,0.7962962962962963,0.65,0.7,5,55
4,0.5333333333333332,0.361264399041483,0.8251280908888394,0.18987341772151897,0.1428571428571428,0.35185185185185186,0.8499999999999999,0.6199999999999999,4,18
5,0.8222222222222222,0.5436461758659697,0.29160169302740035,0.5569620253164557,0.0,0.37037037037037024,0.6166666666666666,0.38,1,62
0,0.6777777777777776,0.5727706573788371,0.5413232345734016,0.1265822784810127,0.7142857142857142,0.40740740740740744,0.7499999999999999,0.4,3,34
5,0.3333333333333333,0.3769680210516926,0.37202049454221436,0.25316455696202533,0.06122448979591821,0.14814814814814814,0.65,0.5800000000000001,0,0
2,0.41111111111111115,0.318350085755643,0.13833815994653598,0.21518987341772153,0.36734693877551017,0.4259259259259258,0.5833333333333333,0.38,1,29
9,0.9666666666666666,0.7184863216708361,0.5090220539095567,0.36708860759493667,0.20408163265306123,0.5555555555555554,0.6833333333333332,0.38,6,49
2,0.5888888888888888,0.4425680470013907,0.23323680106928046,0.2784810126582279,0.3877551020408163,0.09259259259259256,0.9166666666666666,0.020000000000000018,1,49
9,0.4333333333333334,0.34336721661105046,0.4780574738249054,0.3417721518987341,0.020408163265306145,0.2407407407407407,0.5999999999999999,0.5199999999999999,4,56
0,0.08888888888888888,0.13544120568784945,0.59166852305636,0.8354430379746834,0.7346938775510201,0.7407407407407409,0.4166666666666667,0.96,5,14
7,0.6444444444444444,0.5346367650457565,0.4448652261082647,0.2911392405063291,0.26530612244897944,0.35185185185185186,0.45,0.72,6,175
7,0.39999999999999997,0.2827949446744326,0.49253731343283585,0.36708860759493667,0.46938775510204067,0.5925925925925926,0.5166666666666666,0.74,3,51
1,0.25555555555555554,0.3252389196816296,0.2771218534194699,0.037974683544303806,0.08163265306122436,0.22222222222222232,0.45,0.9000000000000001,4,10
1,0.5111111111111111,0.3990212098235826,0.20472265537981735,0.430379746835443,0.12244897959183665,0.3148148148148149,0.5666666666666665,0.78,4,53
0,0.41111111111111115,0.45720935324432044,0.31677433726887955,0.4683544303797468,0.6326530612244896,0.35185185185185186,0.8333333333333333,0.6,3,20
7,0.5555555555555556,0.5760549160486719,0.15237246602806861,0.6708860759493671,0.020408163265306145,0.16666666666666674,0.4166666666666667,0.45999999999999996,4,89
7,0.39999999999999997,0.697527885788891,0.424593450657162,0.620253164556962,0.5102040816326532,0.462962962962963,0.5333333333333333,0.36,6,44
1,0.8111111111111111,0.5729125697904967,0.2561817776787704,0.21518987341772153,0.5102040816326532,0.7222222222222223,0.45,0.74,3,71
9,0.16666666666666669,0.2457922969942951,0.3261305413232346,0.5443037974683544,0.6122448979591837,0.6481481481481479,0.7666666666666665,0.96,3,59
9,0.6333333333333333,0.0,0.5484517709957675,0.7215189873417721,0.20408163265306123,0.2592592592592593,0.8666666666666666,0.54,0,0
5,0.35555555555555557,0.31908803029627253,0.4640231677433727,0.5316455696202531,0.6326530612244896,0.3148148148148149,0.5333333333333333,0.8199999999999998,3,44
0,0.39999999999999997,0.2838815882837113,0.7997326798841613,0.7721518987341772,0.7142857142857142,0.5925925925925926,0.7499999999999999,0.8400000000000001,5,44
0,0.3333333333333333,0.3966005895447044,0.3702383604366229,0.08860759493670886,0.12244897959183665,0.03703703703703698,0.6166666666666666,0.8,0,0
8,0.7666666666666666,0.7368173506169134,0.469592336823346,0.012658227848101278,0.16326530612244894,0.2592592592592593,0.65,0.8599999999999999,4,25
6,0.9666666666666666,0.006110342982025779,0.6429048785921141,0.7341772151898734,0.08163265306122436,0.2962962962962963,0.5166666666666666,0.9000000000000001,0,0
8,0.8555555555555554,0.6470800507640969,0.7391401202940522,0.6455696202531646,0.8979591836734693,0.7777777777777777,0.7666666666666665,0.6,5,39
7,0.3888888888888889,0.49936950342819836,0.6181777678770327,0.7974683544303797,0.5714285714285714,0.574074074074074,0.65,0.6199999999999999,6,80
2,0.8444444444444443,0.7742132984093645,0.6660726219648029,0.7468354430379747,0.2857142857142856,0.07407407407407396,0.5333333333333333,0.0,1,25
6,0.033333333333333326,0.0802899878766254,0.6524838494096681,0.620253164556962,0.06122448979591821,0.16666666666666674,0.7333333333333333,0.21999999999999997,1,48
6,1.0,0.7115650506221844,0.7195366451325462,0.13924050632911392,0.3265306122448979,0.0,0.7499999999999999,0.48,4,56
3,0.6555555555555557,0.679018452668156,0.6890175985742927,0.10126582278481014,0.020408163265306145,0.12962962962962954,0.5166666666666666,0.09999999999999998,1,67
